Paulo Rocha >	linguateca 
Maria João Varanda Pereira >	RMHVC06 BUHV08 PMCH08j CPH07f FCHV08 CHP08i CFPBH07d CHP08a CHP08b PMCH08e PMCH08f OPCH09a OPHC09a OPHCC09 MKCHCPO09 OHCP09 BHVU09 CBHP09 OPHCC2010 KOMPCCH2010 
Jonas Bulegon Gassen >	LRHGT08 LGFSSAH08 
Susana Afonso >	linguateca 
J.G. Rocha >	SGML97 museums98 RRAH99 
Mario Berón >	BUHV08 
Sónia Moreira >	mp2001 
Alberto Manuel Simões >	APL2k2.Parguess APL2k2.Synthesis xata:xmldt xata:museudapessoa elpub2003 
L.S. Barbosa >	Barbosa95 Barbosa95a BA97a Barbosa95b Barbosa2000 
Rafael Teodósio Pereira >	LPH09a 
Oliveir >	oliveira09b oliveira09c 
Luís Cabral >	linguateca 
Alberto Simões  >	elpub06-blind 
Hui Wu >	HVMLGW05 
Cristina Mota >	linguateca 
Pedro Henriques  >	CH09d 
Pedro Rangel  Henriques >	RH02 
Almeid >	ABBN98 
Mario Ricardo Henriques >	RSea99 
Luís Costa >	linguateca 
Jorge Sousa Pinto >	CPH08c CHP09a 
Ricardo Reis >	Reis98 
Barbos >	ABNO97a ABNO97b 
Carlos Ramos >	RRH02 
Mário Béron >	CFPBH07d 
Paulo A. Rocha >	freq2002 
Elisabete Ferreira >	FPCH08jb FPCH08d 
Sandra Lopes >	CHLB07a 
M. J. Varanda >	VH01 VH02 VH03 
Xavier Gómez Guinovart >	sepln2004 
J. Alves de Castro >	parguess2002 
Marjan Mernik >	KMHVZ04 HVMLGW05 RMHV06 RMHCV06 HKMVZ03 RMHVC06 PMCH08j PMCH08e PMCH08f MKCHCPO09 KOMPCCH2010 
Bruno Martins >	cp3a:terminum2003 cp3a:kvec2003 
Henrique Machado >	LMMVRH08 
Matej Crepinsek >	KOMPCCH2010 
Ulisses Pinto >	jspell1 Almeida94c Ulisses96 
Leonor Barroca >	BH98 
Fábio L. Silva >	LGFSSAH08 
Flávio Xavier Ferreira >	GFH08 FGH08 FH08 FCHGD09a FCHGD09b 
{projecto Camila} >	Camila 
Rogério Corrêa Turchetti >	LRHGT08 
José Almeida >	epia-bio-2007 
Alberto Manuel Brandão Simões >	teseambs 
Elisabete Ranchho >	linguateca 
Paulo Oliveira >	ORH06 
António R. Fernandes >	elpub06-blind 
Nuno Cardoso >	linguateca 
P. Rangel Henriques >	mp2001 alfarrabio2001 
Viljem Zumer >	KMHVZ04 HKMVZ03 
Eva Oliveira >	OVH05 OHV06 
Mirkos Martins >	LMMVRH08 
Alda Gan\c{c}arski >	GH07b GH07a GFH08 
P.R. Henriques >	graminteractivas1990 Ramalho95 Ramalho96 SGML97 AH97 museums98 Ramalho98 RRAH99 
Ana Frankenberg-Garcia >	linguateca 
Kosa >	kosar09 
Bastian Cramer >	OPHCC09 OPHCC2010 
José João Almeida >	xata04:tx xata04:mtd lrec06 avalon:jspell avalon:avalinha xata07:xmltmx MP07 epia-music-2007 RAH98 RARH98 
Gan\c{c}arsk >	GDH06 
Anália Lourenço >	epia-bio-2007 epia-music-2007 
Giovana Mendes >	MSH05 
Mario Béron >	CHLB07a BHVU06a BHVU06b BHVUM06 BHVU08 BHV06 BCVHU08 BHVU09 CBHP09 
F\'atima Rodrigues >	RRH02 ORH06 
Luís Sarmento >	linguateca 
Rachel Aires >	linguateca 
